lake_id,system:time_start,date,system:index,ST,ST_max,ST_min,ST_stddev,ST_count,QA_PIXEL
6,1.019744799779E12,2002-04-25,1_1_2_LE07_005016_20020425,-1.207296904308583,[6.301403289079985],[-12.886643206719953],[0.9935380412895888],[78507],13560.457660877319
6,1.030803952198E12,2002-08-31,1_1_2_LE07_005016_20020831,3.668815530681783,[9.860765252120018],[0.788800124960062],[0.5262377297394877],[78257],5740.675426313633
6,1.050157598589E12,2003-04-12,1_1_2_LE07_005016_20030412,-7.317450074955108,[0.006401674880009978],[-20.258820151839956],[1.252540183406556],[78507],13543.528439060066
6,1.079188027603E12,2004-03-13,1_1_2_LE07_005016_20040313,-14.080074340391905,[-8.817620281479947],[-24.818219570439965],[2.1323259042791425],[61244],13314.15470540921
6,1.080570429476E12,2004-03-29,1_1_2_LE07_005016_20040329,-11.730208345017312,[-5.836792383639988],[-22.179002263479987],[1.448334857299009],[61677],13460.563584078944
6,1.081952823193E12,2004-04-14,1_1_2_LE07_005016_20040414,-2.1344523086065004,[3.904619304680068],[-9.208819506520001],[0.9750535677397678],[61671],13519.106144257385
6,1.094394395235E12,2004-09-05,1_1_2_LE07_005016_20040905,3.529527253712975,[8.73124636291999],[0.18271681856003852],[0.5725658404701474],[60566],5744.180887451564
6,1.095776789707E12,2004-09-21,1_1_2_LE07_005016_20040921,3.2597324006982533,[7.2986858205200065],[-1.8944959679199656],[0.6792622517760388],[61124],5741.40438902641
6,1.110983255097E12,2005-03-16,1_1_2_LE07_005016_20050316,-2.645122389768865,[3.430772356040052],[-9.054543755799955],[1.1285258931011255],[60061],11789.355156890359
6,1.112365652136E12,2005-04-01,1_1_2_LE07_005016_20050401,-7.160285380619578,[0.6317694501200322],[-19.09348724907997],[1.5828083008404739],[61884],13456.031218951615
6,1.124807229165E12,2005-08-23,1_1_2_LE07_005016_20050823,3.9449080090581714,[13.048212458960052],[0.6510539189600308],[0.5698815886307661],[60712],5726.384776212193
6,1.127572017127E12,2005-09-24,1_1_2_LE07_005016_20050924,3.1337532566525725,[5.378503708879975],[-2.7953561551599932],[0.7571270302932751],[61096],5758.678651213256
6,1.144160876444E12,2006-04-04,1_1_2_LE07_005016_20060404,-2.129237570166638,[3.582293182640001],[-11.635907656239965],[1.0357657366973196],[61387],13508.173029823438
6,1.155220053568E12,2006-08-10,1_1_2_LE07_005016_20060810,4.076581301714823,[10.541231509760053],[0.7584959596400154],[0.7977172915291462],[60615],5728.011250268129
6,1.16074963965E12,2006-10-13,1_1_2_LE07_005016_20061013,2.7913375534349902,[6.406090405640043],[-1.5501304529200297],[0.6668035929562441],[62682],5730.8443088700305
